vehicle_category,euro_standard,country,fleet_year
Buses,Conventional,Lithuania,1990
Heavy Duty Trucks,Conventional,Lithuania,1990
Light Commercial Vehicles,Conventional,Lithuania,1990
Motorcycles,Conventional,Lithuania,1990
Passenger Cars,Conventional,Lithuania,1990
Buses,Conventional,Luxembourg,1990
Heavy Duty Trucks,Conventional,Luxembourg,1990
Light Commercial Vehicles,Conventional,Luxembourg,1990
Motorcycles,Conventional,Luxembourg,1990
Passenger Cars,Conventional,Luxembourg,1990
Buses,Conventional,Malta,1990
Heavy Duty Trucks,Conventional,Malta,1990
Light Commercial Vehicles,Conventional,Malta,1990
Motorcycles,Conventional,Malta,1990
Passenger Cars,Conventional,Malta,1990
Buses,Conventional,Montenegro,1990
Heavy Duty Trucks,Conventional,Montenegro,1990
Light Commercial Vehicles,Conventional,Montenegro,1990
Motorcycles,Conventional,Montenegro,1990
Passenger Cars,Conventional,Montenegro,1990
Buses,Conventional,Netherlands,1990
Heavy Duty Trucks,Conventional,Netherlands,1990
Light Commercial Vehicles,Conventional,Netherlands,1990
Motorcycles,Conventional,Netherlands,1990
Passenger Cars,Conventional,Netherlands,1990
Buses,Conventional,North Macedonia,1990
Heavy Duty Trucks,Conventional,North Macedonia,1990
Light Commercial Vehicles,Conventional,North Macedonia,1990
Motorcycles,Conventional,North Macedonia,1990
Passenger Cars,Conventional,North Macedonia,1990
Buses,Conventional,Norway,1990
Heavy Duty Trucks,Conventional,Norway,1990
Light Commercial Vehicles,Conventional,Norway,1990
Motorcycles,Conventional,Norway,1990
Passenger Cars,Conventional,Norway,1990
Buses,Conventional,Poland,1990
Heavy Duty Trucks,Conventional,Poland,1990
Light Commercial Vehicles,Conventional,Poland,1990
Motorcycles,Conventional,Poland,1990
Passenger Cars,Conventional,Poland,1990
Buses,Conventional,Portugal,1990
Heavy Duty Trucks,Conventional,Portugal,1990
Light Commercial Vehicles,Conventional,Portugal,1990
Motorcycles,Conventional,Portugal,1990
Passenger Cars,Conventional,Portugal,1990
Buses,Conventional,Romania,1990
Heavy Duty Trucks,Conventional,Romania,1990
Light Commercial Vehicles,Conventional,Romania,1990
Motorcycles,Conventional,Romania,1990
Passenger Cars,Conventional,Romania,1990
Buses,Conventional,Serbia,1990
Heavy Duty Trucks,Conventional,Serbia,1990
Light Commercial Vehicles,Conventional,Serbia,1990
Motorcycles,Conventional,Serbia,1990
Passenger Cars,Conventional,Serbia,1990
Buses,Conventional,Slovenia,1990
Heavy Duty Trucks,Conventional,Slovenia,1990
Light Commercial Vehicles,Conventional,Slovenia,1990
Motorcycles,Conventional,Slovenia,1990
Passenger Cars,Conventional,Slovenia,1990
Buses,Conventional,Spain,1990
Heavy Duty Trucks,Conventional,Spain,1990
Light Commercial Vehicles,Conventional,Spain,1990
Motorcycles,Conventional,Spain,1990
Passenger Cars,Conventional,Spain,1990
Buses,Conventional,Sweden,1990
Heavy Duty Trucks,Conventional,Sweden,1990
Light Commercial Vehicles,Conventional,Sweden,1990
Motorcycles,Conventional,Sweden,1990
Passenger Cars,Conventional,Sweden,1990
Buses,Conventional,Switzerland,1990
Heavy Duty Trucks,Conventional,Switzerland,1990
Light Commercial Vehicles,Conventional,Switzerland,1990
Motorcycles,Conventional,Switzerland,1990
Passenger Cars,Conventional,Switzerland,1990
Buses,Conventional,Turkey,1990
Heavy Duty Trucks,Conventional,Turkey,1990
Light Commercial Vehicles,Conventional,Turkey,1990
Motorcycles,Conventional,Turkey,1990
Passenger Cars,Conventional,Turkey,1990
Buses,Conventional,United Kingdom,1990
Heavy Duty Trucks,Conventional,United Kingdom,1990
Light Commercial Vehicles,Conventional,United Kingdom,1990
Motorcycles,Conventional,United Kingdom,1990
Passenger Cars,Conventional,United Kingdom,1990
Buses,Conventional,EU28,1990
Heavy Duty Trucks,Conventional,EU28,1990
Light Commercial Vehicles,Conventional,EU28,1990
Motorcycles,Conventional,EU28,1990
Passenger Cars,Conventional,EU28,1990
Buses,Conventional,Albania,1995
Heavy Duty Trucks,Conventional,Albania,1995
Light Commercial Vehicles,Conventional,Albania,1995
Motorcycles,Conventional,Albania,1995
Passenger Cars,Conventional,Albania,1995
Buses,Conventional,Austria,1995
Heavy Duty Trucks,Conventional,Austria,1995
Light Commercial Vehicles,Conventional,Austria,1995
Motorcycles,Conventional,Austria,1995
Passenger Cars,Conventional,Austria,1995
Buses,Conventional,Belgium,1995
Heavy Duty Trucks,Conventional,Belgium,1995
Light Commercial Vehicles,Conventional,Belgium,1995
Motorcycles,Conventional,Belgium,1995
Passenger Cars,Conventional,Belgium,1995
Buses,Conventional,Bulgaria,1995
Heavy Duty Trucks,Conventional,Bulgaria,1995
Light Commercial Vehicles,Conventional,Bulgaria,1995
Motorcycles,Conventional,Bulgaria,1995
Passenger Cars,Conventional,Bulgaria,1995
Buses,Conventional,Croatia,1995
Heavy Duty Trucks,Conventional,Croatia,1995
Light Commercial Vehicles,Conventional,Croatia,1995
Motorcycles,Conventional,Croatia,1995
Passenger Cars,Conventional,Croatia,1995
Buses,Conventional,Cyprus,1995
Heavy Duty Trucks,Conventional,Cyprus,1995
Light Commercial Vehicles,Conventional,Cyprus,1995
Motorcycles,Conventional,Cyprus,1995
Passenger Cars,Conventional,Cyprus,1995
Buses,Conventional,Czech Republic,1995
Heavy Duty Trucks,Conventional,Czech Republic,1995
Light Commercial Vehicles,Conventional,Czech Republic,1995
Motorcycles,Conventional,Czech Republic,1995
Passenger Cars,Conventional,Czech Republic,1995
Buses,Conventional,Denmark,1995
Heavy Duty Trucks,Conventional,Denmark,1995
Light Commercial Vehicles,Conventional,Denmark,1995
Motorcycles,Conventional,Denmark,1995
Passenger Cars,Conventional,Denmark,1995
Buses,Conventional,EU27,1995
Heavy Duty Trucks,Conventional,EU27,1995
Light Commercial Vehicles,Conventional,EU27,1995
Motorcycles,Conventional,EU27,1995
Passenger Cars,Conventional,EU27,1995
Buses,Conventional,Estonia,1995
Heavy Duty Trucks,Conventional,Estonia,1995
Light Commercial Vehicles,Conventional,Estonia,1995
Motorcycles,Conventional,Estonia,1995
Passenger Cars,Conventional,Estonia,1995
Buses,Conventional,Finland,1995
Heavy Duty Trucks,Conventional,Finland,1995
Light Commercial Vehicles,Conventional,Finland,1995
Motorcycles,Conventional,Finland,1995
Passenger Cars,Conventional,Finland,1995
Buses,Conventional,France,1995
Heavy Duty Trucks,Conventional,France,1995
Light Commercial Vehicles,Conventional,France,1995
Motorcycles,Conventional,France,1995
Passenger Cars,Conventional,France,1995
Buses,Conventional,Germany,1995
Heavy Duty Trucks,Conventional,Germany,1995
Light Commercial Vehicles,Conventional,Germany,1995
Motorcycles,Conventional,Germany,1995
Passenger Cars,Conventional,Germany,1995
Buses,Conventional,Greece,1995
Heavy Duty Trucks,Conventional,Greece,1995
Light Commercial Vehicles,Conventional,Greece,1995
Motorcycles,Conventional,Greece,1995
Passenger Cars,Conventional,Greece,1995
Buses,Conventional,Hungary,1995
Heavy Duty Trucks,Conventional,Hungary,1995
Light Commercial Vehicles,Conventional,Hungary,1995
Motorcycles,Conventional,Hungary,1995
Passenger Cars,Conventional,Hungary,1995
Buses,Conventional,Iceland,1995
Heavy Duty Trucks,Conventional,Iceland,1995
Light Commercial Vehicles,Conventional,Iceland,1995
Motorcycles,Conventional,Iceland,1995
Passenger Cars,Conventional,Iceland,1995
Buses,Conventional,Ireland,1995
Heavy Duty Trucks,Conventional,Ireland,1995
Light Commercial Vehicles,Conventional,Ireland,1995
Motorcycles,Conventional,Ireland,1995
Passenger Cars,Conventional,Ireland,1995
Buses,Conventional,Italy,1995
Heavy Duty Trucks,Conventional,Italy,1995
Light Commercial Vehicles,Conventional,Italy,1995
Motorcycles,Conventional,Italy,1995
Passenger Cars,Conventional,Italy,1995
Buses,Conventional,Latvia,1995
Heavy Duty Trucks,Conventional,Latvia,1995
Light Commercial Vehicles,Conventional,Latvia,1995
Motorcycles,Conventional,Latvia,1995
Passenger Cars,Conventional,Latvia,1995
Buses,Conventional,Liechtenstein,1995
Heavy Duty Trucks,Conventional,Liechtenstein,1995
Light Commercial Vehicles,Conventional,Liechtenstein,1995
Motorcycles,Conventional,Liechtenstein,1995
Passenger Cars,Conventional,Liechtenstein,1995
Buses,Conventional,Lithuania,1995
Heavy Duty Trucks,Conventional,Lithuania,1995
Light Commercial Vehicles,Conventional,Lithuania,1995
Motorcycles,Conventional,Lithuania,1995
Passenger Cars,Conventional,Lithuania,1995
Buses,Conventional,Luxembourg,1995
Heavy Duty Trucks,Conventional,Luxembourg,1995
Light Commercial Vehicles,Conventional,Luxembourg,1995
Motorcycles,Conventional,Luxembourg,1995
Passenger Cars,Conventional,Luxembourg,1995
Buses,Conventional,Malta,1995
Heavy Duty Trucks,Conventional,Malta,1995
Light Commercial Vehicles,Conventional,Malta,1995
Motorcycles,Conventional,Malta,1995
Passenger Cars,Conventional,Malta,1995
Buses,Conventional,Montenegro,1995
Heavy Duty Trucks,Conventional,Montenegro,1995
Light Commercial Vehicles,Conventional,Montenegro,1995
Motorcycles,Conventional,Montenegro,1995
Passenger Cars,Conventional,Montenegro,1995
Buses,Conventional,Netherlands,1995
Heavy Duty Trucks,Conventional,Netherlands,1995
Light Commercial Vehicles,Conventional,Netherlands,1995
Motorcycles,Conventional,Netherlands,1995
Passenger Cars,Conventional,Netherlands,1995
Buses,Conventional,North Macedonia,1995
Heavy Duty Trucks,Conventional,North Macedonia,1995
Light Commercial Vehicles,Conventional,North Macedonia,1995
Motorcycles,Conventional,North Macedonia,1995
Passenger Cars,Conventional,North Macedonia,1995
Buses,Conventional,Norway,1995
Heavy Duty Trucks,Conventional,Norway,1995
Light Commercial Vehicles,Conventional,Norway,1995
Motorcycles,Conventional,Norway,1995
Passenger Cars,Conventional,Norway,1995
Buses,Conventional,Poland,1995
Heavy Duty Trucks,Conventional,Poland,1995
Light Commercial Vehicles,Conventional,Poland,1995
Motorcycles,Conventional,Poland,1995
Passenger Cars,Conventional,Poland,1995
Buses,Conventional,Portugal,1995
Heavy Duty Trucks,Conventional,Portugal,1995
Light Commercial Vehicles,Conventional,Portugal,1995
Motorcycles,Conventional,Portugal,1995
Passenger Cars,Conventional,Portugal,1995
Buses,Conventional,Romania,1995
Heavy Duty Trucks,Conventional,Romania,1995
Light Commercial Vehicles,Conventional,Romania,1995
Motorcycles,Conventional,Romania,1995
Passenger Cars,Conventional,Romania,1995
Buses,Conventional,Serbia,1995
Heavy Duty Trucks,Conventional,Serbia,1995
Light Commercial Vehicles,Conventional,Serbia,1995
Motorcycles,Conventional,Serbia,1995
Passenger Cars,Conventional,Serbia,1995
Buses,Conventional,Slovenia,1995
Heavy Duty Trucks,Conventional,Slovenia,1995
Light Commercial Vehicles,Conventional,Slovenia,1995
Motorcycles,Conventional,Slovenia,1995
Passenger Cars,Conventional,Slovenia,1995
Buses,Conventional,Spain,1995
Heavy Duty Trucks,Conventional,Spain,1995
Light Commercial Vehicles,Conventional,Spain,1995
Motorcycles,Conventional,Spain,1995
Passenger Cars,Conventional,Spain,1995
Buses,Conventional,Sweden,1995
Heavy Duty Trucks,Conventional,Sweden,1995
Light Commercial Vehicles,Conventional,Sweden,1995
Motorcycles,Conventional,Sweden,1995
Passenger Cars,Conventional,Sweden,1995
Buses,Conventional,Switzerland,1995
Heavy Duty Trucks,Conventional,Switzerland,1995
Light Commercial Vehicles,Conventional,Switzerland,1995
Motorcycles,Conventional,Switzerland,1995
Passenger Cars,Conventional,Switzerland,1995
Buses,Conventional,Turkey,1995
Heavy Duty Trucks,Conventional,Turkey,1995
Light Commercial Vehicles,Conventional,Turkey,1995
Motorcycles,Conventional,Turkey,1995
Passenger Cars,Conventional,Turkey,1995
Buses,Conventional,United Kingdom,1995
Heavy Duty Trucks,Conventional,United Kingdom,1995
Light Commercial Vehicles,Conventional,United Kingdom,1995
Motorcycles,Conventional,United Kingdom,1995
Passenger Cars,Conventional,United Kingdom,1995
Buses,Conventional,EU28,1995
Heavy Duty Trucks,Conventional,EU28,1995
Light Commercial Vehicles,Conventional,EU28,1995
Motorcycles,Conventional,EU28,1995
Passenger Cars,Conventional,EU28,1995
Buses,Conventional,Albania,2000
Heavy Duty Trucks,Conventional,Albania,2000
Light Commercial Vehicles,Conventional,Albania,2000
Motorcycles,Conventional,Albania,2000
Passenger Cars,Conventional,Albania,2000
Buses,Conventional,Austria,2000
Heavy Duty Trucks,Conventional,Austria,2000
Light Commercial Vehicles,Conventional,Austria,2000
Motorcycles,Conventional,Austria,2000
Passenger Cars,Conventional,Austria,2000
Buses,Conventional,Belgium,2000
Heavy Duty Trucks,Conventional,Belgium,2000
Light Commercial Vehicles,Conventional,Belgium,2000
Motorcycles,Conventional,Belgium,2000
Passenger Cars,Conventional,Belgium,2000
Buses,Conventional,Bulgaria,2000
Heavy Duty Trucks,Conventional,Bulgaria,2000
Light Commercial Vehicles,Conventional,Bulgaria,2000
Motorcycles,Conventional,Bulgaria,2000
Passenger Cars,Conventional,Bulgaria,2000
Buses,Conventional,Croatia,2000
Heavy Duty Trucks,Conventional,Croatia,2000
Light Commercial Vehicles,Conventional,Croatia,2000
Motorcycles,Conventional,Croatia,2000
Passenger Cars,Conventional,Croatia,2000
Buses,Conventional,Cyprus,2000
Heavy Duty Trucks,Conventional,Cyprus,2000
Light Commercial Vehicles,Conventional,Cyprus,2000
Motorcycles,Conventional,Cyprus,2000
Passenger Cars,Conventional,Cyprus,2000
Buses,Conventional,Czech Republic,2000
Heavy Duty Trucks,Conventional,Czech Republic,2000
Light Commercial Vehicles,Conventional,Czech Republic,2000
Motorcycles,Conventional,Czech Republic,2000
Passenger Cars,Conventional,Czech Republic,2000
Buses,Conventional,Denmark,2000
Heavy Duty Trucks,Conventional,Denmark,2000
Light Commercial Vehicles,Conventional,Denmark,2000
Motorcycles,Conventional,Denmark,2000
Passenger Cars,Conventional,Denmark,2000
Buses,Conventional,EU27,2000
Heavy Duty Trucks,Conventional,EU27,2000
Light Commercial Vehicles,Conventional,EU27,2000
Motorcycles,Conventional,EU27,2000
Passenger Cars,Conventional,EU27,2000
Buses,Conventional,Estonia,2000
Heavy Duty Trucks,Conventional,Estonia,2000
Light Commercial Vehicles,Conventional,Estonia,2000
Motorcycles,Conventional,Estonia,2000
Passenger Cars,Conventional,Estonia,2000
Buses,Conventional,Finland,2000
Heavy Duty Trucks,Conventional,Finland,2000
Light Commercial Vehicles,Conventional,Finland,2000
Motorcycles,Conventional,Finland,2000
Passenger Cars,Conventional,Finland,2000
Buses,Conventional,France,2000
Heavy Duty Trucks,Conventional,France,2000
Light Commercial Vehicles,Conventional,France,2000
Motorcycles,Conventional,France,2000
Passenger Cars,Conventional,France,2000
Buses,Conventional,Germany,2000
Heavy Duty Trucks,Conventional,Germany,2000
Light Commercial Vehicles,Conventional,Germany,2000
Motorcycles,Conventional,Germany,2000
Passenger Cars,Conventional,Germany,2000
Buses,Conventional,Greece,2000
Heavy Duty Trucks,Conventional,Greece,2000
Light Commercial Vehicles,Conventional,Greece,2000
Motorcycles,Conventional,Greece,2000
Passenger Cars,Conventional,Greece,2000
Buses,Conventional,Hungary,2000
Heavy Duty Trucks,Conventional,Hungary,2000
Light Commercial Vehicles,Conventional,Hungary,2000
Motorcycles,Conventional,Hungary,2000
Passenger Cars,Conventional,Hungary,2000
Buses,Conventional,Iceland,2000
Heavy Duty Trucks,Conventional,Iceland,2000
Light Commercial Vehicles,Conventional,Iceland,2000
Motorcycles,Conventional,Iceland,2000
Passenger Cars,Conventional,Iceland,2000
Buses,Conventional,Ireland,2000
Heavy Duty Trucks,Conventional,Ireland,2000
Light Commercial Vehicles,Conventional,Ireland,2000
Motorcycles,Conventional,Ireland,2000
Passenger Cars,Conventional,Ireland,2000
Buses,Conventional,Italy,2000
Heavy Duty Trucks,Conventional,Italy,2000
Light Commercial Vehicles,Conventional,Italy,2000
Motorcycles,Conventional,Italy,2000
Passenger Cars,Conventional,Italy,2000
Buses,Conventional,Latvia,2000
Heavy Duty Trucks,Conventional,Latvia,2000
Light Commercial Vehicles,Conventional,Latvia,2000
Motorcycles,Conventional,Latvia,2000
Passenger Cars,Conventional,Latvia,2000
Buses,Conventional,Liechtenstein,2000
Heavy Duty Trucks,Conventional,Liechtenstein,2000
Light Commercial Vehicles,Conventional,Liechtenstein,2000
Motorcycles,Conventional,Liechtenstein,2000
Passenger Cars,Conventional,Liechtenstein,2000
Buses,Conventional,Lithuania,2000
Heavy Duty Trucks,Conventional,Lithuania,2000
Light Commercial Vehicles,Conventional,Lithuania,2000
Motorcycles,Conventional,Lithuania,2000
Passenger Cars,Conventional,Lithuania,2000
Buses,Euro I,Luxembourg,2000
Heavy Duty Trucks,Euro I,Luxembourg,2000
Light Commercial Vehicles,Euro 1,Luxembourg,2000
Motorcycles,Euro 1,Luxembourg,2000
Passenger Cars,Euro 1,Luxembourg,2000
Buses,Conventional,Malta,2000
Heavy Duty Trucks,Conventional,Malta,2000
Light Commercial Vehicles,Conventional,Malta,2000
Motorcycles,Conventional,Malta,2000
Passenger Cars,Conventional,Malta,2000
Buses,Conventional,Montenegro,2000
Heavy Duty Trucks,Conventional,Montenegro,2000
Light Commercial Vehicles,Conventional,Montenegro,2000
Motorcycles,Conventional,Montenegro,2000
Passenger Cars,Conventional,Montenegro,2000
Buses,Conventional,Netherlands,2000
Heavy Duty Trucks,Conventional,Netherlands,2000
Light Commercial Vehicles,Conventional,Netherlands,2000
Motorcycles,Conventional,Netherlands,2000
Passenger Cars,Conventional,Netherlands,2000
Buses,Conventional,North Macedonia,2000
Heavy Duty Trucks,Conventional,North Macedonia,2000
Light Commercial Vehicles,Conventional,North Macedonia,2000
Motorcycles,Conventional,North Macedonia,2000
Passenger Cars,Conventional,North Macedonia,2000
Buses,Conventional,Norway,2000
Heavy Duty Trucks,Conventional,Norway,2000
Light Commercial Vehicles,Conventional,Norway,2000
Motorcycles,Conventional,Norway,2000
Passenger Cars,Conventional,Norway,2000
Buses,Conventional,Poland,2000
Heavy Duty Trucks,Conventional,Poland,2000
Light Commercial Vehicles,Conventional,Poland,2000
Motorcycles,Conventional,Poland,2000
Passenger Cars,Conventional,Poland,2000
Buses,Conventional,Portugal,2000
Heavy Duty Trucks,Conventional,Portugal,2000
Light Commercial Vehicles,Conventional,Portugal,2000
Motorcycles,Conventional,Portugal,2000
Passenger Cars,Conventional,Portugal,2000
Buses,Conventional,Romania,2000
Heavy Duty Trucks,Conventional,Romania,2000
Light Commercial Vehicles,Conventional,Romania,2000
Motorcycles,Conventional,Romania,2000
Passenger Cars,Conventional,Romania,2000
Buses,Conventional,Serbia,2000
Heavy Duty Trucks,Conventional,Serbia,2000
Light Commercial Vehicles,Conventional,Serbia,2000
Motorcycles,Conventional,Serbia,2000
Passenger Cars,Conventional,Serbia,2000
Buses,Conventional,Slovenia,2000
Heavy Duty Trucks,Conventional,Slovenia,2000
Light Commercial Vehicles,Conventional,Slovenia,2000
Motorcycles,Conventional,Slovenia,2000
Passenger Cars,Conventional,Slovenia,2000
Buses,Conventional,Spain,2000
Heavy Duty Trucks,Conventional,Spain,2000
Light Commercial Vehicles,Conventional,Spain,2000
Motorcycles,Conventional,Spain,2000
Passenger Cars,Conventional,Spain,2000
Buses,Conventional,Sweden,2000
Heavy Duty Trucks,Conventional,Sweden,2000
Light Commercial Vehicles,Conventional,Sweden,2000
Motorcycles,Conventional,Sweden,2000
Passenger Cars,Conventional,Sweden,2000
Buses,Conventional,Switzerland,2000
Heavy Duty Trucks,Conventional,Switzerland,2000
Light Commercial Vehicles,Conventional,Switzerland,2000
Motorcycles,Conventional,Switzerland,2000
Passenger Cars,Conventional,Switzerland,2000
Buses,Conventional,Turkey,2000
Heavy Duty Trucks,Conventional,Turkey,2000
Light Commercial Vehicles,Conventional,Turkey,2000
Motorcycles,Conventional,Turkey,2000
Passenger Cars,Conventional,Turkey,2000
Buses,Conventional,United Kingdom,2000
Heavy Duty Trucks,Conventional,United Kingdom,2000
Light Commercial Vehicles,Conventional,United Kingdom,2000
Motorcycles,Conventional,United Kingdom,2000
Passenger Cars,Conventional,United Kingdom,2000
Buses,Conventional,EU28,2000
Heavy Duty Trucks,Conventional,EU28,2000
Light Commercial Vehicles,Conventional,EU28,2000
Motorcycles,Conventional,EU28,2000
Passenger Cars,Conventional,EU28,2000
Buses,Euro I,Albania,2005
Heavy Duty Trucks,Euro I,Albania,2005
Light Commercial Vehicles,Euro 1,Albania,2005
Motorcycles,Euro 1,Albania,2005
Passenger Cars,Euro 1,Albania,2005
Buses,Euro II,Austria,2005
Heavy Duty Trucks,Euro II,Austria,2005
Light Commercial Vehicles,Euro 2,Austria,2005
Motorcycles,Euro 2,Austria,2005
Passenger Cars,Euro 2,Austria,2005
Buses,Euro I,Belgium,2005
Heavy Duty Trucks,Euro I,Belgium,2005
Light Commercial Vehicles,Euro 1,Belgium,2005
Motorcycles,Euro 1,Belgium,2005
Passenger Cars,Euro 1,Belgium,2005
Buses,Euro I,Bulgaria,2005
Heavy Duty Trucks,Euro I,Bulgaria,2005
Light Commercial Vehicles,Euro 1,Bulgaria,2005
Motorcycles,Euro 1,Bulgaria,2005
Passenger Cars,Euro 1,Bulgaria,2005
Buses,Conventional,Croatia,2005
Heavy Duty Trucks,Conventional,Croatia,2005
Light Commercial Vehicles,Conventional,Croatia,2005
Motorcycles,Conventional,Croatia,2005
Passenger Cars,Conventional,Croatia,2005
Buses,Euro I,Cyprus,2005
Heavy Duty Trucks,Euro I,Cyprus,2005
Light Commercial Vehicles,Euro 1,Cyprus,2005
Motorcycles,Euro 1,Cyprus,2005
Passenger Cars,Euro 1,Cyprus,2005
Buses,Conventional,Czech Republic,2005
Heavy Duty Trucks,Conventional,Czech Republic,2005
Light Commercial Vehicles,Conventional,Czech Republic,2005
Motorcycles,Conventional,Czech Republic,2005
Passenger Cars,Conventional,Czech Republic,2005
Buses,Euro II,Denmark,2005
Heavy Duty Trucks,Euro II,Denmark,2005
Light Commercial Vehicles,Euro 2,Denmark,2005
Motorcycles,Euro 2,Denmark,2005
Passenger Cars,Euro 2,Denmark,2005
Buses,Euro I,EU27,2005
Heavy Duty Trucks,Euro I,EU27,2005
Light Commercial Vehicles,Euro 1,EU27,2005
Motorcycles,Euro 1,EU27,2005
Passenger Cars,Euro 1,EU27,2005
Buses,Conventional,Estonia,2005
Heavy Duty Trucks,Conventional,Estonia,2005
Light Commercial Vehicles,Conventional,Estonia,2005
Motorcycles,Conventional,Estonia,2005
Passenger Cars,Conventional,Estonia,2005
Buses,Euro I,Finland,2005
Heavy Duty Trucks,Euro I,Finland,2005
Light Commercial Vehicles,Euro 1,Finland,2005
Motorcycles,Euro 1,Finland,2005
Passenger Cars,Euro 1,Finland,2005
Buses,Euro I,France,2005
Heavy Duty Trucks,Euro I,France,2005
Light Commercial Vehicles,Euro 1,France,2005
Motorcycles,Euro 1,France,2005
Passenger Cars,Euro 1,France,2005
Buses,Euro I,Germany,2005
Heavy Duty Trucks,Euro I,Germany,2005
Light Commercial Vehicles,Euro 1,Germany,2005
Motorcycles,Euro 1,Germany,2005
Passenger Cars,Euro 1,Germany,2005
Buses,Conventional,Greece,2005
Heavy Duty Trucks,Conventional,Greece,2005
Light Commercial Vehicles,Conventional,Greece,2005
Motorcycles,Conventional,Greece,2005
Passenger Cars,Conventional,Greece,2005
Buses,Conventional,Hungary,2005
Heavy Duty Trucks,Conventional,Hungary,2005
Light Commercial Vehicles,Conventional,Hungary,2005
